RNodes,AeroTwst,DRNodes,Chord,NFoil
1.95,25.092,0.9,2.9315,1
3.0744,24.738,1.3488,2.864,1
4.058,24.268,0.6184,2.8895,1
4.7326,23.733,0.7308,2.9328,1
5.5478,22.96,0.8996,3.0052,1
6.4754,21.926,0.9556,3.1031,1
7.4873,20.631,1.0682,3.2161,1
8.5836,19.083,1.1244,3.3293,6
9.7642,17.314,1.2368,3.4262,6
11.057,15.34,1.3488,3.5018,6
12.435,13.255,1.4072,3.5548,6
13.868,11.209,1.4588,3.5862,6
15.358,9.3686,1.5212,3.5981,6
16.932,7.8036,1.6268,3.5972,6
18.562,6.5572,1.6332,3.5877,6
20.221,5.6351,1.6848,3.5627,7
21.907,4.9656,1.6872,3.5129,7
23.622,4.4722,1.7428,3.4278,5
25.365,4.0527,1.7432,3.304,5
26.686,3.7285,0.8988,3.1889,5
28.035,3.3363,1.7992,3.0521,2
29.385,2.9179,0.9008,2.9104,2
30.734,2.458,1.7972,2.7589,2
32.533,1.866,1.8008,2.5527,2
34.332,1.3647,1.7972,2.349,2
36.103,0.94667,1.7448,2.159,2
37.846,0.53415,1.7412,1.9894,3
39.56,0.12735,1.6868,1.8597,3
41.247,-0.21268,1.6872,1.8214,3
42.498,-0.43645,0.8148,1.8055,3
43.72,-0.65543,1.6292,1.7267,3
44.943,-0.86843,0.8168,1.6512,4
46.11,-1.0647,1.5172,1.5845,4
47.6,-1.3084,1.4628,1.4996,4
49.033,-1.5392,1.4032,1.4136,4
50.411,-1.7523,1.3528,1.3236,4
51.704,-1.9486,1.2332,1.228,4
52.884,-2.1364,1.1268,1.1287,4
53.98,-2.3124,1.0652,1.0248,4
54.992,-2.4759,0.9588,0.91813,4
55.92,-2.6274,0.8972,0.80865,4
56.735,-2.7619,0.7328,0.70184,4
57.41,-2.8753,0.6172,0.60632,4
57.769,-2.9368,0.1008,0.55359,4
57.916,-2.9455,0.1932,0.54607,4
